index,panoid,lat,lon,year,month,img_path,ang_0,ang_90,ang_180,ang_270
28499,qYTz5Av4wb21Y1XUy4kIww,-1.296614620166274,36.75459702617145,2018.0,1.0,Q/y/,0.79419637,0.8628173,0.0,0.7028847
47391,qYUrSN4Jb_UuTSxQZtVaGQ,-1.24847692732283,36.9528771562579,2018.0,2.0,Q/y/,0.72000486,0.0,0.0,0.65688837
90723,qYXNgaZTisf_3kHjiVaVKw,-1.162537082703426,36.94696247446898,2021.0,12.0,Q/y/,0.0,0.0,0.0,0.0
88008,qYXvdgSV6xy24svFFuktcg,-1.273264218617565,36.69708310701336,2021.0,8.0,Q/y/,0.0,0.749175,0.6397086,0.0
92032,qYbY5Mx_ovZV6eUh4cIghw,-1.252078392723166,36.87250151267639,2021.0,8.0,Q/y/,0.0,0.6458697,0.0,0.77166784
33676,qYbY5Mx_ovZV6eUh4cIghw,-1.252078392723166,36.87250151267639,2021.0,8.0,Q/y/,0.0,0.6458697,0.0,0.77166784
33687,qYdXLC2s75kph16G7i3QNQ,-1.252084025038034,36.86749140237384,2021.0,8.0,Q/y/,0.65696126,0.0,0.0,0.0
23566,qYh0T_CS62AoJARe0VMtpw,-1.290756647060946,36.90522001227439,2018.0,4.0,Q/y/,0.6440655,0.68684644,0.72673166,0.83263296
84189,qYhGfNP4evIo8ne9OlOcYA,-1.257308399956315,37.09255055882087,2018.0,2.0,Q/y/,0.0,0.0,0.0,0.0
122798,qYkKekr70Zis_eEpyU8sNg,-1.279988003115105,36.89678265386353,2021.0,7.0,Q/y/,0.0,0.0,0.0,0.62427074
17512,qYqYyp2cFAmsVBoKD0zsrQ,-1.150721854866509,36.9517818474866,2018.0,5.0,Q/y/,0.0,0.7914857,0.84778535,0.0
63628,qYsACSkYAOupCxxyxzSSVA,-1.326681217277601,36.89511454698204,2018.0,2.0,Q/y/,0.0,0.0,0.0,0.0
117697,qYwf7nNdWdIh6_VoJMGMGQ,-1.377394402968623,36.92579145753263,2022.0,5.0,Q/y/,0.0,0.0,0.0,0.0
78716,qYxKjpU_aLJEpafUzgqPTA,-1.190699178077355,36.74025890323104,2022.0,2.0,Q/y/,0.0,0.0,0.0,0.0
119957,qZ-6I_5KUnhiQ1eqz6jqBg,-1.135516379385898,36.9495997086939,2021.0,12.0,Q/Z/,0.0,0.0,0.0,0.0
75224,qZ-7BHYU8RG8zhT_0dXCmw,-1.213245214694382,36.93435539362501,2021.0,9.0,Q/Z/,0.0,0.0,0.0,0.0
101356,qZ-ZyRBFJrZfmogqxni8xw,-1.252744457951018,37.03534831183228,2021.0,10.0,Q/Z/,0.0,0.0,0.0,0.0
8618,qZ07PXHF5VMuTyi6FJJDRw,-1.282629010427941,37.06335536265956,2018.0,2.0,Q/Z/,0.0,0.62639976,0.0,0.0
24128,qZ1P7Hk5lxqu3_bd8jy04g,-1.275387886101258,36.83017964550224,2021.0,8.0,Q/Z/,0.6999186,0.0,0.0,0.7416985
34333,qZ5i4ObcwrFNnmCKUxvK-w,-1.205023286530768,36.78149063972891,2022.0,1.0,Q/Z/,0.0,0.0,0.0,0.0
115984,qZ5i4ObcwrFNnmCKUxvK-w,-1.205023286530768,36.78149063972891,2022.0,1.0,Q/Z/,0.0,0.0,0.0,0.0
90122,qZ5i4ObcwrFNnmCKUxvK-w,-1.205023286530768,36.78149063972891,2022.0,1.0,Q/Z/,0.0,0.0,0.0,0.0
45989,qZ7Sf2aLNHhysAiNbawRfQ,-1.273660335162498,36.97886005696335,2018.0,2.0,Q/Z/,0.0,0.0,0.0,0.0
19222,qZ7jKZ8-2VsUQqmIG56PuQ,-1.223112153825144,36.85025956197561,2018.0,1.0,Q/Z/,0.0,0.0,0.0,0.0
46382,qZ8AfFu9zNt9UwWmgTSnvA,-1.282198912500485,36.94888253734055,2021.0,8.0,Q/Z/,0.0,0.67356116,0.0,0.0
23342,qZA9_qCyMgt7PMek-Jy7Vw,-1.278451034544893,36.91334136734045,2021.0,8.0,Q/Z/,0.7995146,0.0,0.0,0.0
114468,qZCJso_2cXULrr9FRYv2LQ,-1.22450306972191,36.92910802947676,2021.0,9.0,Q/Z/,0.0,0.76639545,0.0,0.0
59397,qZCOmddItzu9daVq3dH71Q,-1.271872237626408,37.01210555295865,2018.0,2.0,Q/Z/,0.0,0.0,0.0,0.7290172
82091,qZDkIJDe9KF_dftCaJxegg,-1.205201971004002,36.77038863602906,2021.0,9.0,Q/Z/,0.0,0.0,0.0,0.0
67805,qZFzcjb25EnH2Usl9F9bxg,-1.280784967699068,36.99141766902271,2018.0,2.0,Q/Z/,0.0,0.0,0.0,0.0
39239,qZJtG5SO_pAzpdFeLIAbPA,-1.289787268778638,36.98738934163128,2018.0,2.0,Q/Z/,0.0,0.0,0.0,0.0
7144,qZK_6MmU3AncU79W380pJQ,-1.280207626784557,36.81233164465873,2018.0,2.0,Q/Z/,0.0,0.71346587,0.7030029,0.0
10628,qZKfDtMmbscOZrLsjrvFcA,-1.308133304735206,36.77414012115413,2021.0,7.0,Q/Z/,0.0,0.0,0.0,0.66103673
15416,qZOV6kBRSilEaynauNoAuw,-1.19278406864857,36.76563900305585,2018.0,2.0,Q/Z/,0.0,0.0,0.6638037,0.0
112368,qZRBNfzjG2Rny--HRwIxWA,-1.202777745503022,36.91535009221353,2018.0,2.0,Q/Z/,0.0,0.7097757,0.0,0.0
74520,qZRZPw4SbuL-cIwAi_pA2g,-1.27057868462187,37.0675631967514,2018.0,2.0,Q/Z/,0.0,0.6372336,0.0,0.0
53936,qZTjMasG6nCFYFNNlOVoQg,-1.19385719163794,36.80241127557193,2018.0,5.0,Q/Z/,0.0,0.0,0.0,0.0
28943,qZY51EOlXDPl2GLVLBlI3A,-1.230306261674344,36.77090303802178,2021.0,7.0,Q/Z/,0.0,0.0,0.0,0.0
31227,qZZNcXae29KwJpmWxzXiQQ,-1.163453489563817,36.79992084816499,2021.0,11.0,Q/Z/,0.0,0.0,0.0,0.0
89,qZZYeEKooEURQga42_XQ8A,-1.331637728309058,36.74847432714824,2018.0,1.0,Q/Z/,0.0,0.8563979,0.7251129,0.0
110182,qZc39_FaHpIGBsOIlJbFyQ,-1.267736509171026,36.83500487936177,2021.0,10.0,Q/Z/,0.0,0.0,0.0,0.0
90371,qZcZt4MFwO76njMAHfKlrA,-1.131542721482432,36.97855243527965,2022.0,1.0,Q/Z/,0.0,0.0,0.0,0.0
6455,qZfbaBC1Q1vZv1FvBTxxzA,-1.260343116250772,36.87069067870151,2018.0,2.0,Q/Z/,0.0,0.0,0.0,0.0
48018,qZhiAuYVqa-6geJFJnz__g,-1.23848481688264,36.92936689196064,2021.0,9.0,Q/Z/,0.0,0.82364994,0.0,0.8566
