index,panoid,lat,lon,year,month,img_path,angle,value,img_name
33962,1Rjk9N5VgLp0AIOKtu5frA,-1.228392909113635,36.88921612970125,2021.0,9.0,1/r/,90,0.6779985,1Rjk9N5VgLp0AIOKtu5frA_90
4958,1Rjk9N5VgLp0AIOKtu5frA,-1.228392909113635,36.88921612970125,2021.0,9.0,1/r/,90,0.6779985,1Rjk9N5VgLp0AIOKtu5frA_90
16015,1RojzxdRVWrmodA0CEECWA,-1.289598770728399,36.693210224468,2018.0,3.0,1/r/,90,0.7913727,1RojzxdRVWrmodA0CEECWA_90
116755,1T5CM6WKYYJnFjb2x042sQ,-1.283750462603519,36.73230574356136,2018.0,3.0,1/t/,90,0.87988997,1T5CM6WKYYJnFjb2x042sQ_90
17145,1T5CM6WKYYJnFjb2x042sQ,-1.283750462603519,36.73230574356136,2018.0,3.0,1/t/,90,0.87988997,1T5CM6WKYYJnFjb2x042sQ_90
24442,1T5k8JjjyohrIi69ka0ckg,-1.29690360894268,36.85424830282543,2018.0,2.0,1/t/,90,0.7401284,1T5k8JjjyohrIi69ka0ckg_90
65877,1TcwByGJsvsvuJU_pFrfcQ,-1.203861726128303,36.65581184298931,2021.0,11.0,1/t/,90,0.7400493,1TcwByGJsvsvuJU_pFrfcQ_90
50087,1TcwByGJsvsvuJU_pFrfcQ,-1.203861726128303,36.65581184298931,2021.0,11.0,1/t/,90,0.7400493,1TcwByGJsvsvuJU_pFrfcQ_90
54884,1Ti2pdbMqyvEHfjApsb6DA,-1.193624795324429,36.90464648609795,2021.0,12.0,1/t/,90,0.6137125,1Ti2pdbMqyvEHfjApsb6DA_90
64686,1TwIScJj4nx_FMfLI8hQsw,-1.229711362553187,36.73303851264438,2022.0,2.0,1/t/,90,0.6629316,1TwIScJj4nx_FMfLI8hQsw_90
36618,1Uo8WXvPwYnMPvVy-oINzA,-1.27091452508712,37.02576164888907,2018.0,2.0,1/U/,90,0.68892825,1Uo8WXvPwYnMPvVy-oINzA_90
35476,1UqfrkE5OvO9QA5PRHhmLw,-1.326534757667237,36.8907097355409,2018.0,4.0,1/U/,90,0.8217514,1UqfrkE5OvO9QA5PRHhmLw_90
