panoid,lat,lon,year,month,img_path,angle,type,img_name
IMG_7195,-1.2869138888888887,36.80044166666666,2023,2,Used/,,Self,IMG_7195
IMG_6260,-1.2716444444444444,36.82822777777778,2023,2,Used/,,Self,IMG_6260
IMG_6506,-1.3054666666666668,36.787638888888885,2023,2,Used/,,Self,IMG_6506
IMG_7618,-1.2911833333333331,36.81981666666667,2023,2,Used/,,Self,IMG_7618
IMG_6512,-1.3047777777777778,36.78789722222222,2023,2,Used/,,Self,IMG_6512
IMG_8259,-1.2822194444444444,36.96094166666667,2023,2,Used/,,Self,IMG_8259
IMG_6274,-1.2644194444444443,36.83669444444445,2023,2,Used/,,Self,IMG_6274
IMG_8271,-1.2791527777777778,36.96710555555556,2023,2,Used/,,Self,IMG_8271
IMG_7142,-1.295811111111111,36.79536111111111,2023,2,Used/,,Self,IMG_7142
IMG_8517,-1.2733805555555555,37.00023611111112,2023,2,Used/,,Self,IMG_8517
IMG_7624,-1.299786111111111,36.83690555555556,2023,2,Used/,,Self,IMG_7624
IMG_8503,-1.276536111111111,37.01580833333333,2023,2,Used/,,Self,IMG_8503
IMG_7630,-1.3120805555555557,36.850947222222224,2023,2,Used/,,Self,IMG_7630
IMG_8265,-1.280461111111111,36.964288888888895,2023,2,Used/,,Self,IMG_8265
IMG_7156,-1.2894277777777776,36.79624166666667,2023,2,Used/,,Self,IMG_7156
IMG_0639,-1.2992638888888888,36.77433888888888,2023,2,Used/,,Self,IMG_0639
IMG_6248,-1.2750055555555555,36.82363055555556,2023,2,Used/,,Self,IMG_6248
IMG_7631,-1.3117138888888888,36.85075,2023,2,Used/,,Self,IMG_7631
IMG_8502,-1.2766388888888889,37.01695,2023,2,Used/,,Self,IMG_8502
IMG_6249,-1.2749055555555555,36.82377222222223,2023,2,Used/,,Self,IMG_6249
IMG_0638,-1.2991722222222222,36.774391666666666,2023,2,Used/,,Self,IMG_0638
IMG_7157,-1.2894,36.79625,2023,2,Used/,,Self,IMG_7157
IMG_8264,-1.2806472222222225,36.96390555555556,2023,2,Used/,,Self,IMG_8264
IMG_7143,-1.2957638888888887,36.79535555555555,2023,2,Used/,,Self,IMG_7143
IMG_8270,-1.279388888888889,36.96666388888889,2023,2,Used/,,Self,IMG_8270
IMG_7625,-1.299688888888889,36.83693611111112,2023,2,Used/,,Self,IMG_7625
IMG_8516,-1.273863888888889,37.00098333333333,2023,2,Used/,,Self,IMG_8516
IMG_6513,-1.3047555555555557,36.78793611111111,2023,2,Used/,,Self,IMG_6513
IMG_6275,-1.2638666666666667,36.837447222222224,2023,2,Used/,,Self,IMG_6275
IMG_8258,-1.282433333333333,36.96058888888889,2023,2,Used/,,Self,IMG_8258
IMG_6261,-1.271536111111111,36.8284,2023,2,Used/,,Self,IMG_6261
IMG_7619,-1.2977277777777776,36.82960833333334,2023,2,Used/,,Self,IMG_7619
IMG_6507,-1.3053333333333337,36.78768611111111,2023,2,Used/,,Self,IMG_6507
IMG_7194,-1.2868638888888888,36.800244444444445,2023,2,Used/,,Self,IMG_7194
IMG_7180,-1.288436111111111,36.79839722222222,2023,2,Used/,,Self,IMG_7180
IMG_7816,-1.312186111111111,36.87022777777778,2023,2,Used/,,Self,IMG_7816
IMG_7802,-1.3127472222222225,36.87213055555556,2023,2,Used/,,Self,IMG_7802
IMG_8066,-1.2950277777777777,36.810294444444445,2023,2,Used/,,Self,IMG_8066
IMG_7355,-1.2921944444444444,36.79931666666666,2023,2,Used/,,Self,IMG_7355
IMG_8700,-1.2424222222222223,36.66532222222222,2023,2,Used/,,Self,IMG_8700
IMG_8714,-1.2265444444444449,36.663980555555554,2023,2,Used/,,Self,IMG_8714
IMG_8072,-1.2947277777777777,36.81386388888889,2023,2,Used/,,Self,IMG_8072
