panoid,lat,lon,year,month,ang_0,ang_90,ang_180,ang_270,img_path
-2yq97x4RZlE45bDmKRGEA,-1.254996235469412,36.86316029986967,2021.0,7.0,0.32451063,0.0,0.0,0.0,-/2/
-2z86ldaIRp_uDcJJnnykA,-1.282846820481401,37.05847786033496,2018.0,2.0,0.0,0.0,0.0,0.0,-/2/
-2zDnFEUX5tQHMsXGonLMw,-1.294913366009106,36.82749253566939,2021.0,8.0,0.0,0.0,0.0,0.0,-/2/
-33LPsAFn08ur_Ekde1OQg,-1.259056257129074,36.96437739987935,2018.0,2.0,0.0,0.26504144,0.0,0.0,-/3/
-35ucp7M37FHTjcBsdFSzQ,-1.246822297880078,36.69279953965578,2021.0,8.0,0.2600345,0.0,0.0,0.0,-/3/
-390x8jN4T4VeWHwWd8ZWw,-1.149194567914658,36.937351234813,2018.0,5.0,0.0,0.0,0.0,0.0,-/3/
-3AI53gV9XZ0NTippfy2ag,-1.248160849617292,36.72057296997398,2021.0,8.0,0.0,0.0,0.0,0.0,-/3/
-3CnrCHBD8meUr0i3hvcjQ,-1.291604948228915,36.87325341431955,2022.0,4.0,0.0,0.0,0.0,0.0,-/3/
-3EAuGujrEUF5aaL4YfcLA,-1.134252670424497,36.97300895734571,2021.0,12.0,0.0,0.32666835,0.0,0.0,-/3/
-3EHJ_ZT6QE_t5RYg1yw_w,-1.28348021155218,36.78808207760172,2021.0,7.0,0.31656915,0.0,0.32330364,0.6605488,-/3/
-3GBGMg-W9WIzxtM4eGlCQ,-1.141645355957196,36.96746243532967,2021.0,12.0,0.0,0.0,0.0,0.0,-/3/
-3GScVjGX4I-dk3mBrradA,-1.291107221752811,36.78007889903795,2021.0,8.0,0.0,0.0,0.0,0.0,-/3/
-3H6nVTTjVIy3xq_YcX2Bw,-1.340057633164908,36.74756706537588,2021.0,7.0,0.0,0.0,0.0,0.0,-/3/
-3MqbACbGh5iRPxU_mhdyw,-1.227570371302679,36.9338803519212,2021.0,9.0,0.0,0.0,0.0,0.0,-/3/
-3NjcghxKlVeEJ59ov_t7A,-1.162248311959909,36.98012151362247,2018.0,5.0,0.0,0.0,0.0,0.0,-/3/
-3QHa46KGy0uDjCIPuCsDg,-1.281769704545071,36.80723405240234,2021.0,9.0,0.44576725,0.28770643,0.0,0.0,-/3/
-3TWMO-mgcZLgM6R26pr6Q,-1.174988752619276,36.82781746465464,2021.0,11.0,0.0,0.0,0.43153667,0.42739883,-/3/
-3Uf_vGxJ-q606tD0wNlnA,-1.254671141962872,36.81447760868439,2017.0,12.0,0.0,0.0,0.0,0.33992666,-/3/
-3YoebR6RGyqUKfplvLblg,-1.299622185898795,36.82395781381193,2018.0,6.0,0.0,0.0,0.0,0.0,-/3/
-3b2upZeoa_dm4iW-agQ-w,-1.303760258639168,36.77518555485369,2021.0,7.0,0.2945897,0.0,0.0,0.0,-/3/
-3fnxogrzu6U1qhSVPn3_Q,-1.175159556067153,36.91223693490613,2021.0,9.0,0.0,0.0,0.0,0.0,-/3/
-3g2YljzNKO7ChpIyiCp_Q,-1.202273375620163,36.87960060251495,2021.0,9.0,0.0,0.31335145,0.3791501,0.0,-/3/
-3guHzYRHG8Lo_3D2W-kpg,-1.226666375682421,36.83525906370806,2018.0,1.0,0.0,0.0,0.0,0.0,-/3/
-3iUUCBObR9JH4KDeNMyDQ,-1.293794187104615,37.03544766033446,2018.0,2.0,0.0,0.0,0.0,0.0,-/3/
-3jDFNYjXBZkKDn_L-lAZQ,-1.200332313884198,36.92810267306383,2021.0,9.0,0.49812266,0.0,0.0,0.38743758,-/3/
-3kh1qSL1F22O7SDT8-u3w,-1.265898968919361,36.85248776251708,2021.0,7.0,0.0,0.0,0.0,0.0,-/3/
-3l0SHoc2SjGiBF8t3kaaQ,-1.263649263106172,36.68726712874408,2021.0,8.0,0.7123109,0.0,0.64853525,0.4379532,-/3/
-3rXwYm61hAesg9ytePpew,-1.286006930368635,36.89158241404043,2018.0,1.0,0.2833898,0.0,0.0,0.0,-/3/
-3svyboxdGQU9BTkv87AEQ,-1.313545926350054,36.85549909672208,2021.0,7.0,0.0,0.0,0.0,0.3558149,-/3/
-3uL8ZIVHOFZpb5lTEW4mg,-1.257439295909661,36.81934691331229,2018.0,1.0,0.0,0.0,0.0,0.2510077,-/3/
-3uw-6BFMusOKKDEdsLN9A,-1.222876532878691,36.77527596827062,2018.0,2.0,0.0,0.0,0.0,0.0,-/3/
-3vtET3xdZMy0GxjFPXRhQ,-1.223659504677643,36.92800161991438,2021.0,9.0,0.0,0.0,0.0,0.0,-/3/
-400aK3eWjhEb49Ke9AsLw,-1.259831366710358,36.92813195548449,2018.0,2.0,0.0,0.0,0.0,0.0,-/4/
-42P_h9Mscf7p-ZPSEzmhA,-1.181158321833757,36.79153083458502,2022.0,2.0,0.0,0.0,0.0,0.0,-/4/
