panoid,lat,lon,year,month,img_path,angle,value
BHzcZx_6OsQBZwLfLLZpxA,-1.292401239868038,36.78287293107974,2021.0,7.0,B/H/,0,0.6898415
BI_wLb1MutdTF9yGyagdLA,-1.250556337488552,36.81953412149863,2021.0,7.0,B/i/,0,0.68124425
BOFAYq7l0PF7Lg2_Kn258w,-1.286835049766403,36.80547469019153,2021.0,9.0,B/O/,0,0.7215418
BWyB-MIYy1sj4Y-ZMeD4QA,-1.304433631753068,36.77352455854858,2018.0,1.0,B/w/,0,0.7322357
Ba8VqYMLy1Vqo90jDp8SKw,-1.215805368770506,36.75903537297707,2021.0,7.0,B/a/,0,0.7265951
BcyG1FHka5fnxS2bJZ2RFg,-1.276188227102715,36.82427577650532,2021.0,8.0,B/C/,0,0.6671568
BjPuotDxMHwsAJ8RoXzD-Q,-1.259076562802363,36.78263492139981,2021.0,7.0,B/j/,0,0.6537866
BzvYdIo_u10fl_A2vTAjKg,-1.277920636591392,36.99456966185287,2021.0,8.0,B/Z/,0,0.62608254
C8VVIsefoBiRXSI8sS2Aag,-1.352699155736943,36.94142480151067,2018.0,4.0,C/8/,0,0.6200715
CCvSkq9IsFJLx0Z82MoJdw,-1.227000900393007,36.87136231779105,2021.0,7.0,C/C/,0,0.60868037
CLw9b2PX9HlmVLtpCnu15A,-1.232035023631001,36.70923972654621,2021.0,10.0,C/L/,0,0.6016018
CQhP0Ksgn83-WTFDX1sx9w,-1.187378015115756,36.89392548072247,2021.0,9.0,C/Q/,0,0.66860646
C_Nz2ves6oE3RFLYmcj3_Q,-1.285156659314089,36.80902245611635,2021.0,9.0,C/_/,0,0.6817262
Ch9nn6stFCFpoqvDQwiZzQ,-1.372642627146122,36.76330599809853,2021.0,7.0,C/H/,0,0.62559056
ChIVe403HR8eJ07MHNKCgQ,-1.250159438777008,36.99862660110105,2021.0,7.0,C/H/,0,0.657762
D3EM_rD7XwD8rjtLT3VsCA,-1.224969873786089,36.82480039963346,2018.0,1.0,d/3/,0,0.63584685
DXzjLsURZXP_rNzQCKIXuw,-1.213233541950505,36.90461965579369,2021.0,9.0,d/x/,0,0.67058784
DY0KU6o7GrtPstjSEPdxew,-1.225253872202843,36.88882097560418,2021.0,9.0,d/y/,0,0.71926564
Dsn3dvCNvL_06BYEZ_E3YQ,-1.319670936408915,36.67435753260659,2018.0,5.0,d/s/,0,0.6819494
E0dtNySfuIjNSGFQ4JEnKA,-1.270168234446141,36.76828512378883,2021.0,7.0,e/0/,0,0.6634984
E6bL9ntn5G5OjglKCSkW9Q,-1.387567537364246,36.74047862893671,2018.0,1.0,e/6/,0,0.6787879
ECn5XaK8wpOQzzkLLbeYwQ,-1.34919203782886,36.76450794051579,2021.0,7.0,e/C/,0,0.6653725
EEUM3OlEjL5Jc2CqEflHdg,-1.306639704384791,36.77638434559606,2021.0,7.0,e/e/,0,0.74617827
ENBcOP_7-TN9lhBofmpKCA,-1.304512100798417,36.86516818070676,2018.0,1.0,e/N/,0,0.60148317
EQGkVogLwwvvRBQBzbNu9Q,-1.447597503423362,36.97116387967743,2022.0,5.0,e/Q/,0,0.6660811
EZ1TZTRNGZyx2OxpvL3c0A,-1.262129089175672,36.9604122687154,2018.0,2.0,e/Z/,0,0.6226581
EblzJZHHc4kd52K-kll6LQ,-1.39855332623311,36.73190744640179,2018.0,1.0,e/B/,0,0.60461575
EdL6idKJNsK9QYanbF8xFA,-1.34293878419178,36.67429843711364,2018.0,4.0,e/d/,0,0.6551567
EoE-uYR45EbS44Ji6zTDiA,-1.379449950741811,36.92367597153734,2021.0,8.0,e/O/,0,0.6289223
Esr1siu6qOqkdBTaS5UEkw,-1.397045077066102,36.75361839188773,2018.0,7.0,e/s/,0,0.6147368
EyNeu0KUxk6HEgqwas-9xQ,-1.330338782686594,36.76506430805382,2018.0,1.0,e/y/,0,0.60906875
F12s8xNKGyGagzQY4rMPPA,-1.17771579819674,36.88284990981202,2021.0,9.0,f/1/,0,0.68752235
