sub_county_x,ward_x,_Capture_the_location_latitude,_Capture_the_location_longitude,_Capture_the_location_precision_x,Feature_x,Garbage/Garbage_type_x,Garbage/Other_garbage_type_x,Garbage/Garbage_Ownership_x,Garbage/Other_Garbage_Ownership,OSM,Comments_x,sub_county_y,ward_y,_Capture_the_location_precision_y,Feature_y,Garbage/Garbage_type_y,Garbage/Other_garbage_type_y,Garbage/Garbage_Ownership_y,description,Comments_y
Embakasi West,Mowlem,-1.2632227,36.8947822,4.84,garbage point,holding ground,,public land,,no,,Embakasi West,Mowlem,4.84,garbage point,holding ground,,public land,,
Embakasi West,Mowlem,-1.2623178,36.8943004,4.9,garbage point,holding ground,,public land,,no,,Embakasi West,Mowlem,4.9,garbage point,holding ground,,public land,,
Embakasi West,Mowlem,-1.2637589,36.8939922,4.84,garbage point,holding ground,,public land,,no,,Embakasi West,Mowlem,4.84,garbage point,holding ground,,public land,,
Embakasi West,Mowlem,-1.2655651,36.8927449,3.9,garbage point,illegal dumping,,public land,,no,,Embakasi West,Mowlem,3.9,garbage point,illegal dumping,,public land,,
Embakasi West,Mowlem,-1.2657041,36.8926873,4.6,garbage point,holding ground,,public land,,no,,Embakasi West,Mowlem,4.6,garbage point,holding ground,,public land,,
Embakasi West,Mowlem,-1.2668533,36.8917227,4.283,garbage point,holding ground,,public land,,no,,Embakasi West,Mowlem,4.283,garbage point,holding ground,,public land,,
Embakasi West,Mowlem,-1.267265,36.8914001,4.88,garbage point,illegal dumping,,public land,,no,,Embakasi West,Mowlem,4.88,garbage point,illegal dumping,,public land,,
Embakasi West,Mowlem,-1.2677658,36.8898399,4.36,garbage point,illegal dumping,,public land,,no,Adversely affecting the community,Embakasi West,Mowlem,4.36,garbage point,illegal dumping,,public land,,Adversely affecting the community
Embakasi West,Mowlem,-1.2756383,36.886252,4.5,garbage point,bin,,public land,,yes,More bins to be utilised for the temporary holding of garbage from the market,Embakasi West,Mowlem,4.5,garbage point,bin,,public land,,More bins to be utilised for the temporary holding of garbage from the market
Embakasi East,Upper Savanna,-1.2905405,36.90448,4.845,garbage point,illegal dumping,,public land,,,,Embakasi East,Upper Savanna,4.845,garbage point,illegal dumping,,public land,,
Embakasi West,Umoja II,-1.2780985,36.89564,4.96,garbage point,illegal dumping,,public land,,yes,,Embakasi West,Umoja II,4.96,garbage point,illegal dumping,,public land,,
Embakasi West,Umoja II,-1.2789976,36.8986742,4.8,garbage point,illegal dumping,,public land,,yes,,Embakasi West,Umoja II,4.8,garbage point,illegal dumping,,public land,,
Mathare,Ngei,-1.259897,36.87202,4.264,garbage point,collection point,,public land,,yes,,Mathare,Ngei,4.264,garbage point,collection point,,public land,,
Mathare,Ngei,-1.2571178,36.8670509,4.451,garbage point,illegal dumping,,public land,,yes,,Mathare,Ngei,4.451,garbage point,illegal dumping,,public land,,
Mathare,Huruma,-1.2599769,36.8720044,4.931,garbage point,collection point,,public land,,yes,,Mathare,Huruma,4.931,garbage point,collection point,,public land,,
Mathare,Huruma,-1.2560902,36.8717668,3.858,garbage point,collection point,,public land,,no,,Mathare,Huruma,3.858,garbage point,collection point,,public land,,
Embakasi West,Umoja II,-1.2835142,36.8913807,4.64,garbage point,collection point,,public land,,yes,Power Line,Embakasi West,Umoja II,4.64,garbage point,collection point,,public land,,Power Line
Dagoretti South,Uthiru/Ruthimitu,-1.2827645,36.6900618,3.425,garbage point,holding ground,,public land,,yes,Well maintained,Dagoretti South,Uthiru/Ruthimitu,3.425,garbage point,holding ground,,public land,,Well maintained
Dagoretti South,Uthiru/Ruthimitu,-1.2607632,36.7121977,3.5,garbage point,holding ground,,public land,,yes,No,Dagoretti South,Uthiru/Ruthimitu,3.5,garbage point,holding ground,,public land,,No
Dagoretti South,Waithaka,-1.2803726,36.7157841,1.697,garbage point,illegal dumping,,public land,,no,Illegal dumping from mkokoteni users,Dagoretti South,Waithaka,1.697,garbage point,illegal dumping,,public land,,Illegal dumping from mkokoteni users
Mathare,Mlango Kubwa,-1.2660823,36.8495484,3.97,garbage point,collection point,,public land,,no,It's along the road,Mathare,Mlango Kubwa,3.97,garbage point,collection point,,public land,,It's along the road
Starehe,Ngara,-1.2726043,36.8265547,4.7,garbage point,other,Handcart,private,,yes,,Starehe,Ngara,4.7,garbage point,other,Handcart,private,,
Starehe,Ngara,-1.2778502,36.8304212,4.9,garbage point,illegal dumping,,public land,,yes,,Starehe,Ngara,4.9,garbage point,illegal dumping,,public land,,
Starehe,Ngara,-1.2715068,36.8322526,4.6,garbage point,holding ground,,public land,,yes,,Starehe,Ngara,4.6,garbage point,holding ground,,public land,,
Starehe,Ngara,-1.2791149,36.8329836,5.0,garbage point,collection point,,public land,,yes,,Starehe,Ngara,5.0,garbage point,collection point,,public land,,
Starehe,Ngara,-1.2769539,36.8277829,3.7,garbage point,holding ground,,public land,,yes,,Starehe,Ngara,3.7,garbage point,holding ground,,public land,,
Starehe,Ngara,-1.2760299,36.8251251,4.4,garbage point,illegal dumping,,public land,,yes,,Starehe,Ngara,4.4,garbage point,illegal dumping,,public land,,
Embakasi East,Utawala,-1.315521,36.9157312,4.673,garbage point,collection point,,public land,,yes,,Embakasi East,Utawala,4.673,garbage point,collection point,,public land,,
Embakasi East,Utawala,-1.315431,36.9140498,4.683,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Utawala,4.683,garbage point,illegal dumping,,public land,,
Embakasi East,Utawala,-1.3151797,36.8953795,4.95,garbage point,illegal dumping,,private,,yes,,Embakasi East,Utawala,4.95,garbage point,illegal dumping,,private,,
Mathare,Kiamaiko,-1.2588185,36.8755855,3.85,garbage point,collection point,,public land,,yes,,Mathare,Kiamaiko,3.85,garbage point,collection point,,public land,,
Embakasi Central,Komarock,-1.2631317,36.9095446,4.546,garbage point,illegal dumping,,private,,yes,Measures are in place to cub the illegal dumping but no success yet,Embakasi Central,Komarock,4.546,garbage point,illegal dumping,,private,,Measures are in place to cub the illegal dumping but no success yet
