sub_county_x,ward_x,_Capture_the_location_latitude,_Capture_the_location_longitude,_Capture_the_location_precision_x,Feature_x,Garbage/Garbage_type_x,Garbage/Other_garbage_type_x,Garbage/Garbage_Ownership_x,Garbage/Other_Garbage_Ownership,OSM,Comments_x,sub_county_y,ward_y,_Capture_the_location_precision_y,Feature_y,Garbage/Garbage_type_y,Garbage/Other_garbage_type_y,Garbage/Garbage_Ownership_y,description,Comments_y
Dagoretti North,Kawangware,-1.2817897,36.7425421,3.14,garbage point,illegal dumping,,public land,,yes,,Dagoretti North,Kawangware,3.14,garbage point,illegal dumping,,public land,,
Dagoretti North,Kabiro,-1.2842961,36.745881,3.56,garbage point,illegal dumping,,public land,,yes,,Dagoretti North,Kabiro,3.56,garbage point,illegal dumping,,public land,,
Dagoretti North,Gatina,-1.2818741,36.7484735,4.564,garbage point,illegal dumping,,public land,,yes,.,Dagoretti North,Gatina,4.564,garbage point,illegal dumping,,public land,,.
Dagoretti North,Gatina,-1.2806088,36.7494674,4.46,garbage point,illegal dumping,,public land,,yes,,Dagoretti North,Gatina,4.46,garbage point,illegal dumping,,public land,,
Dagoretti North,Gatina,-1.2798675,36.7515727,2.4,garbage point,collection point,,public land,,yes,,Dagoretti North,Gatina,2.4,garbage point,collection point,,public land,,
Dagoretti North,Kabiro,-1.279144,36.7508754,3.08,garbage point,illegal dumping,,private,,yes,,Dagoretti North,Kabiro,3.08,garbage point,illegal dumping,,private,,
Dagoretti North,Gatina,-1.2798925,36.7515692,4.84,garbage point,collection point,,public land,,yes,Dada Mary collection point,Dagoretti North,Gatina,4.84,garbage point,collection point,,public land,Dada Mary collection point,Dada Mary collection point
Dagoretti North,Kabiro,-1.2794313,36.7509432,4.875,garbage point,illegal dumping,,private,,yes,,Dagoretti North,Kabiro,4.875,garbage point,illegal dumping,,private,,
Dagoretti North,Gatina,-1.2833756,36.7534854,4.125,garbage point,illegal dumping,,public land,,yes,,Dagoretti North,Gatina,4.125,garbage point,illegal dumping,,public land,,
Dagoretti North,Gatina,-1.2832806,36.7535436,4.618,garbage point,illegal dumping,,public land,,yes,,Dagoretti North,Gatina,4.618,garbage point,illegal dumping,,public land,,
Westlands,Mountain View,-1.2707918,36.7493012,4.228,garbage point,illegal dumping,,public land,,yes,,Westlands,Mountain View,4.228,garbage point,illegal dumping,,public land,,
Westlands,Mountain View,-1.269929,36.7492866,4.325,garbage point,illegal dumping,,public land,,yes,,Westlands,Mountain View,4.325,garbage point,illegal dumping,,public land,,
Westlands,Mountain View,-1.2696338,36.7498136,4.1,garbage point,illegal dumping,,public land,,yes,,Westlands,Mountain View,4.1,garbage point,illegal dumping,,public land,,
Dagoretti North,Kawangware,-1.2872934,36.7480036,2.2,garbage point,collection point,,public land,,yes,,Dagoretti North,Kawangware,2.2,garbage point,collection point,,public land,,
Westlands,Kangemi,-1.2642668,36.7474526,4.1,garbage point,illegal dumping,,public land,,yes,,Westlands,Kangemi,4.1,garbage point,illegal dumping,,public land,,
Westlands,Kangemi,-1.2645124,36.7482558,4.466,garbage point,holding ground,,public land,,yes,,Westlands,Kangemi,4.466,garbage point,holding ground,,public land,,
Westlands,Kangemi,-1.2644987,36.7493307,4.014,garbage point,illegal dumping,,public land,,yes,,Westlands,Kangemi,4.014,garbage point,illegal dumping,,public land,,
Makadara,Maringo/ Hamza,-1.2229497,36.8833921,4.566,garbage point,holding ground,,public land,,yes,,Makadara,Maringo/ Hamza,4.566,garbage point,holding ground,,public land,,
Makadara,Maringo/ Hamza,-1.2215893,36.8820968,3.882,garbage point,collection point,,public land,,yes,,Makadara,Maringo/ Hamza,3.882,garbage point,collection point,,public land,,
Kasarani,Clay City,-1.223022,36.8830507,4.16,garbage point,collection point,,private,,yes,The design is good since it's waterproof.,Kasarani,Clay City,4.16,garbage point,collection point,,private,,The design is good since it's waterproof.
Kasarani,Kasarani,-1.2228312,36.8824614,4.933,garbage point,collection point,,private,,yes,,Kasarani,Kasarani,4.933,garbage point,collection point,,private,,
Makadara,Makongeni,-1.2226073,36.8823016,4.139,garbage point,bin,,community,,yes,On a junction of the entrance to the kubaya hall,Makadara,Makongeni,4.139,garbage point,bin,,community,,On a junction of the entrance to the kubaya hall
Kamukunji,Airbase,-1.2228204,36.8823599,4.9,garbage point,bin,,private,,yes,,Kamukunji,Airbase,4.9,garbage point,bin,,private,,
Kamukunji,Eastleigh North,-1.2229148,36.8823055,4.592,garbage point,bin,,private,,yes,,Kamukunji,Eastleigh North,4.592,garbage point,bin,,private,,
Makadara,Makongeni,-1.2224446,36.8819545,4.068,garbage point,bin,,community,,yes,,Makadara,Makongeni,4.068,garbage point,bin,,community,,
Kasarani,Kasarani,-1.2221951,36.881778,4.816,garbage point,other,Waste water drainage,private,,yes,,Kasarani,Kasarani,4.816,garbage point,other,Waste water drainage,private,,
Kasarani,Njiru,-1.2248737,36.8826808,4.825,garbage point,bin,,community,,no,Private,Kasarani,Njiru,4.825,garbage point,bin,,community,,Private
Kasarani,Kasarani,-1.2229858,36.8833376,4.742,garbage point,bin,,private,,yes,,Kasarani,Kasarani,4.742,garbage point,bin,,private,,
Dagoretti North,Gatina,-1.2228287,36.8823906,4.7,garbage point,bin,,private,,yes,Okay,Dagoretti North,Gatina,4.7,garbage point,bin,,private,,Okay
Embakasi North,Dandora Area IV,-1.2248799,36.882662,4.4,garbage point,bin,,private,,yes,The bin is clean.,Embakasi North,Dandora Area IV,4.4,garbage point,bin,,private,,The bin is clean.
Dagoretti North,Gatina,-1.2249504,36.8826902,3.214,garbage point,bin,,public land,,yes,,Dagoretti North,Gatina,3.214,garbage point,bin,,public land,,
Westlands,Parklands/Highridge,-1.2249247,36.8831825,0.901,garbage point,bin,,private,,yes,"Good to go
",Westlands,Parklands/Highridge,0.901,garbage point,bin,,private,,"Good to go
"
