sub_county,ward,lat,lon,_capture_the_location_precision,feature,garbage/garbage_type,garbage/other_garbage_type,garbage/garbage_ownership,garbage/other_garbage_ownership,comments,description
Roysambu,Roysambu,-1.2225691,36.8823639,4.9,garbage point,illegal dumping,,public land,,should be collected regularly to reduce heaping.,should be collected regularly to reduce heaping.
Roysambu,Roysambu,-1.2227325,36.8823106,4.672,garbage point,bin,,community,,"it is emptied on a weekly basis 
","Emptied on a weekly basis 
"
Roysambu,Githurai,-1.2036125,36.9106787,2.0,garbage point,holding ground,,public land,,used as a temporary holding point for cbos to allow sorting before the waste is collected and transported to the final destination,used as a temporary holding point for cbos to allow sorting before the waste is collected and transported to the final destination
Ruaraka,Babadogo,-1.245047,36.8680817,4.363,garbage point,illegal dumping,,other,,no,
Ruaraka,Babadogo,-1.2457254,36.8681935,4.972,garbage point,illegal dumping,,other,,no,
Ruaraka,Mathare North,-1.2565195,36.8653699,4.36,garbage point,illegal dumping,,other,,no,
Lang'ata,Mugumo-ini,-1.3276393,36.7790747,4.795,garbage point,illegal dumping,,public land,,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3286648,36.7795393,4.048,garbage point,illegal dumping,,public land,,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3296155,36.7798372,4.18,garbage point,illegal dumping,,public land,,illegal dumping inside langata cemetery,illegal dumping inside langata cemetery
Lang'ata,Mugumo-ini,-1.3225333,36.7774999,4.724,garbage point,illegal dumping,,public land,,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3215462,36.7779034,4.322,garbage point,illegal dumping,,public land,,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3188571,36.7769277,4.68,garbage point,illegal dumping,,community,,migingo estate,migingo estate
Lang'ata,Mugumo-ini,-1.3184772,36.7818414,4.805,garbage point,holding ground,,community,,raila village estate,raila village estate
Lang'ata,Mugumo-ini,-1.3181819,36.7835835,3.88,garbage point,illegal dumping,,public land,,road reserve,road reserve
Lang'ata,Mugumo-ini,-1.3231246,36.7878761,4.426,garbage point,collection point,,community,,cbo holding point,cbo holding point
Kasarani,Njiru,-1.221795,36.8820686,2.496,garbage point,illegal dumping,,other,,Illegal,
Embakasi South,Imara Daima,-1.324797,36.8855075,2.52,garbage point,collection point,,other,,,
Embakasi South,Imara Daima,-1.3255551,36.8876282,4.379,garbage point,collection point,,other,,,
Embakasi South,Imara Daima,-1.3199344,36.883753,4.62,garbage point,illegal dumping,,other,,,
Embakasi North,Dandora Area III,-1.2467283,36.9051687,3.99,garbage point,illegal dumping,,other,,Illegal dumping should be eliminated,along tom mboya primary school perimeter wall
Embakasi North,Dandora Area III,-1.2459867,36.9056418,4.976,garbage point,illegal dumping,,other,,Dumping should be cleared and monitoring/enforcement to be continued,near dandora stadium entrance
Embakasi North,Dandora Area III,-1.2447516,36.9053769,2.566,garbage point,bin,,other,,,
Embakasi North,Dandora Area III,-1.2451182,36.9052058,3.4,garbage point,bin,,other,,,
Embakasi North,Dandora Area III,-1.2510138,36.9043427,4.7,garbage point,illegal dumping,,other,,Waste to be cleared and monitoring and enforcement to be continued,along cllr opudo road
Embakasi North,Dandora Area III,-1.2459695,36.904452,4.965,garbage point,illegal dumping,,other,,Garbage to be cleared and monitoring and enforcement to be continued,along john osogo road
Embakasi North,Dandora Area III,-1.2461571,36.9042166,3.2,garbage point,illegal dumping,,other,,Garbage to be cleared and monitoring and enforcement to continue,along john osogo road
Embakasi North,Dandora Area III,-1.2462212,36.9040728,2.4,garbage point,other,Illegal dumping and burning of waste,other,,Garbage to be cleared and awareness creation and enforcement,along john osogo road
Embakasi North,Kariobangi North,-1.2525338,36.8812655,3.878,garbage point,holding ground,,other,,"Not a good site, unhealthy and would require prompt collection on a regular basis",
Embakasi North,Kariobangi North,-1.2556586,36.8827745,4.805,garbage point,holding ground,,other,,Requires prompt collection and getting an alternative holding/collection point,
Embakasi North,Kariobangi North,-1.2621216,36.88243,4.637,garbage point,illegal dumping,,other,,"Illegal dumping is a menace, sensitization and creation of awareness to be intensified to curb illegal dumping esp on our water catchment areas",
Westlands,Parklands/Highridge,-1.2648432,36.8051832,4.774,garbage point,collection point,,private,,Owned by Gentleman's Club,Owned by Gentleman's Club
Dagoretti North,Gatina,-1.2798925,36.7515692,4.84,garbage point,collection point,,public land,,Dada Mary collection point,Dada Mary collection point
