panoid,lat,lon,year,month,_0,_90,_180,_270,img_path
Woddjkcb7AITdMMr1t9TFQ,-1.313474246499672,36.8306417239118,2021.0,7.0,23198.0,45282.0,6403.0,15071.0,w/O/
fuPOznWqTkbwTsgmkmY8AQ,-1.313833582491428,36.83085148979942,2021.0,7.0,18958.0,47473.0,6653.0,10969.0,f/U/
JVYyiAq5-Q-y95QZdMKlHw,-1.314318535253162,36.83116901212637,2021.0,7.0,36188.0,48981.0,5269.0,7421.0,j/v/
rbthEJ44iDvRI1XTDxE-JQ,-1.314726094871848,36.83144456389159,2021.0,7.0,14182.0,25152.0,11402.0,16641.0,r/B/
_R9HvQRCo4Ws0tNHKrD2pg,-1.315152703580728,36.83171280494906,2021.0,7.0,37422.0,33031.0,30440.0,39135.0,_/r/
l7qleYbiucd9lkW19HjJog,-1.315511602226184,36.83204510712306,2021.0,7.0,48376.0,5938.0,32614.0,34443.0,L/7/
Qnx8Q6bJDfaF4rpyc06UVQ,-1.31584005286847,36.83237510814642,2022.0,5.0,0.0,0.0,0.0,0.0,Q/N/
fLqqM9oJzMtHX5SfTq6eDQ,-1.316206772058509,36.83283906179187,2021.0,7.0,11950.0,10919.0,32800.0,42338.0,f/L/
Y7QL6GLXdTH_2jUWdeMRoQ,-1.316483743200727,36.83322728912628,2021.0,7.0,17712.0,14122.0,43718.0,40335.0,y/7/
VFUfvpd7-JQTD6VVwpP8Sw,-1.316722629219051,36.83367776825074,2021.0,7.0,52410.0,17446.0,43178.0,0.0,v/f/
MFTC-7tiIxwKSIrNNyUqQw,-1.316917200260291,36.8341526367935,2021.0,7.0,0.0,23319.0,35416.0,37745.0,m/f/
AqW9LTjziZp7ddsL42UZsQ,-1.317178680881569,36.83458257826207,2021.0,7.0,43864.0,22119.0,7048.0,10686.0,a/Q/
bwoJJO-IA14NVMgEz0Pafg,-1.317406034878915,36.83503083166475,2021.0,7.0,38786.0,26409.0,0.0,4705.0,B/w/
cB6lWOtUg13j0KDxVccHWQ,-1.31769448232891,36.835420607876,2021.0,7.0,41783.0,19314.0,5069.0,0.0,C/B/
bOHA2HqrGd82x9B2Z6vBIA,-1.31796325438103,36.83586442134843,2021.0,7.0,4700.0,21862.0,4750.0,0.0,B/O/
6nkr-mYiZ_ebw2oXsCkfUQ,-1.318182536208689,36.83623702878318,2021.0,7.0,43260.0,22632.0,4894.0,0.0,6/N/
1CQ0JCkJNJmeRe6zlaweGw,-1.318470431693755,36.83672756684393,2021.0,7.0,46661.0,22288.0,5680.0,5806.0,1/C/
ZKPpV_i1motX5plAEIQtwA,-1.318685985270494,36.83712365772667,2021.0,7.0,33169.0,11004.0,5554.0,0.0,Z/K/
cHcad9dbfIBgQyIgjR4ntA,-1.318944643141891,36.83758963461457,2021.0,7.0,35448.0,4936.0,0.0,0.0,C/H/
6LISSyr11ciZ0fASifnpRQ,-1.319265324196683,36.8379708563781,2022.0,6.0,0.0,0.0,33226.0,22012.0,6/L/
qcAwP-o0_eo9_mEi8ackMw,-1.319441542025632,36.83842574120683,2021.0,10.0,34894.0,25459.0,0.0,0.0,Q/C/
sGLtfMTK6mvdu2D1pvFd0Q,-1.319700572898077,36.83882519002203,2021.0,10.0,19068.0,13023.0,0.0,0.0,s/g/
AHI9N_rGv5Tp-1XNx5dCTg,-1.319962536045093,36.83925748580777,2021.0,10.0,17278.0,7775.0,0.0,0.0,a/H/
a5zASWluTmNjHA7ZVeAwZQ,-1.320232666693642,36.83972172464084,2021.0,10.0,49691.0,10494.0,0.0,0.0,a/5/
SSyAWGXWxgy0G5Cs2xE_jQ,-1.320497971047334,36.84017339591632,2021.0,10.0,23179.0,15240.0,4442.0,0.0,s/s/
9i48gAzFCmpUCL9FpV_rOg,-1.32073709062539,36.84058868468153,2021.0,10.0,41425.0,7838.0,0.0,0.0,9/i/
